127.0.0.1 - - [02/Mar/2020:11:10:55 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:10:57 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:10:57 +0100] "GET /dst/css/progetto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:11:05 +0100] "GET /dst/progettodiriserva.jsp?size=2 HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:11:05 +0100] "GET /dst/css/progetto1.css HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:11:55 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=luca&lavoratore-1-cognome=dasdf&lavoratore-1-eta=23&lavoratore-1-sesso=maschio&lavoratore-1-nazione=italia&lavoratore-1-assenze=34&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end&lavoratore-2-nome=sdsa&lavoratore-2-cognome=ffsgg&lavoratore-2-eta=65&lavoratore-2-sesso=femmina&lavoratore-2-nazione=portogallo&lavoratore-2-assenze=34&lavoratore-2-presenze=67&lavoratore-2-attivita=Front-end&lavoratore-2-attivita=Back-end HTTP/1.1" 500 2118
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:13:05 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:13:08 +0100] "GET /dst/progettodiriserva.jsp?size=2 HTTP/1.1" 200 3725
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:13:51 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=saccdd&lavoratore-1-cognome=dsdsfvfd&lavoratore-1-eta=34&lavoratore-1-sesso=femmina&lavoratore-1-nazione=vfrfgfsd&lavoratore-1-assenze=54&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end&lavoratore-2-nome=dsddsdsa&lavoratore-2-cognome=effdfssfef&lavoratore-2-eta=56&lavoratore-2-sesso=femmina&lavoratore-2-nazione=ythfghg&lavoratore-2-assenze=89&lavoratore-2-presenze=23&lavoratore-2-attivita=Front-end&lavoratore-2-attivita=Back-end HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:13:51 +0100] "GET /dst/css/tabella.css HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:26:01 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:26:10 +0100] "GET /dst/progettodiriserva.jsp?size=1 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:26:24 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=dwdwd&lavoratore-1-cognome=ewsdd&lavoratore-1-eta=23&lavoratore-1-sesso=femmina&lavoratore-1-nazione=ffs&lavoratore-1-assenze=34&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:28:18 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=dwdwd&lavoratore-1-cognome=ewsdd&lavoratore-1-eta=23&lavoratore-1-sesso=femmina&lavoratore-1-nazione=ffs&lavoratore-1-assenze=34&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:28:18 +0100] "GET /dst/css/tabella.css HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:30:48 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=dwdwd&lavoratore-1-cognome=ewsdd&lavoratore-1-eta=23&lavoratore-1-sesso=femmina&lavoratore-1-nazione=ffs&lavoratore-1-assenze=34&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:30:48 +0100] "GET /dst/css/tabella.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:31:50 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=dwdwd&lavoratore-1-cognome=ewsdd&lavoratore-1-eta=23&lavoratore-1-sesso=femmina&lavoratore-1-nazione=ffs&lavoratore-1-assenze=34&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:31:50 +0100] "GET /dst/css/tabella.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:32:55 +0100] "GET /dst/tabellariserva.jsp?lavoratore-1-nome=dwdwd&lavoratore-1-cognome=ewsdd&lavoratore-1-eta=23&lavoratore-1-sesso=femmina&lavoratore-1-nazione=ffs&lavoratore-1-assenze=34&lavoratore-1-presenze=45&lavoratore-1-attivita=Front-end HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [02/Mar/2020:11:32:55 +0100] "GET /dst/css/tabella.css HTTP/1.1" 200 3295
